# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = Hypo1_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 200000
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0001
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 100
# data
#   file = data_input_files/data_input.R
# init = 2 (Default)
# random
#   seed = 1436399068
# output
#   file = data_output_CV_advi_Hypo1/output_advi_Hypo1_1.csv
#   diagnostic_file = data_output_CV_advi_Hypo1/output_advi_diag_Hypo1_1.R
#   refresh = 1
lp__,p2,p1,p0,sigma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,y.1,y.2,y.3,y.4,y.5,y.6,y.7,y.8,y.9,y.10,y.11,y.12,y.13,y.14,y.15,y.16,y.17,y.18,y.19,y.20,y.21,y.22,y.23,y.24,y.25,y.26,y.27,y.28,y.29,y.30,y.31,y.32,y.33,y.34,y.35,y.36,y.37,y.38,y.39,y.40,y.41,y.42,y.43,y.44,y.45,y.46,y.47,y.48,y.49,y.50,y.51,y.52,y.53,y.54,y.55,y.56,y.57,y.58,y.59,y.60,y.61,y.62,y.63,y.64,y.65,y.66,y.67,y.68,y.69,y.70,y.71,y.72,y.73,y.74,y.75,y.76,y.77,y.78,y.79,y.80,y.81,y.82,y.83,y.84,y.85,y.86,y.87,y.88,y.89,y.90,y.91,y.92,y.93,y.94,y.95,y.96,y.97,y.98,y.99,y.100,y.101,y.102
# Stepsize adaptation complete.
# eta = 1
0,5.00655,5.01755,5.00074,2.31371,-1.76074,-1.7677,-1.77354,-1.90538,-1.76625,-1.75998,-1.7604,-1.75793,-1.7605,-1.88883,-1.96625,-1.76897,-1.89567,-1.76263,-1.75885,-1.76832,-1.75967,-1.83212,-1.8122,-1.75965,-1.78532,-2.112,-1.82784,-2.06836,-2.0821,-1.89576,-1.76248,-1.7594,-1.76148,-1.94574,-2.28605,-2.16827,-1.77938,-2.14948,-1.77463,-1.83561,-1.76617,-2.31659,-1.9901,-1.83971,-2.02798,-1.9093,-2.06527,-1.80115,-1.75999,-1.83086,-1.89249,-1.76537,-1.91894,-1.77302,-1.8697,-1.83083,-2.53843,-1.77231,-1.76662,-1.78617,-1.75904,-1.75822,-1.76871,-1.76806,-1.78696,-1.87169,-1.76124,-1.86641,-2.31776,-1.75948,-1.76503,-1.85562,-1.76875,-1.93646,-2.12127,-1.76191,-1.93027,-1.75784,-1.80864,-1.80217,-1.78919,-1.81636,-1.80431,-1.7715,-1.86705,-1.76781,-1.8852,-1.89155,-1.9359,-1.86773,-1.75841,-2.07838,-1.81005,-1.75818,-2.12536,-1.80625,-1.85604,-1.84304,-1.78234,-1.82897,-1.77047,-2.03022,-1.75874,-1.89045,-38.1821,-4.42293,105.077,100.577,96.1804,91.8856,87.6928,83.6023,79.6139,75.7277,71.9436,68.2617,64.6819,61.2044,57.829,54.5557,51.3846,48.3157,45.349,42.4844,39.722,37.0617,34.5036,32.0477,29.6939,27.4423,25.2928,23.2456,21.3004,19.4575,17.7167,16.0781,14.5416,13.1073,11.7752,10.5452,9.41744,8.39181,7.46833,6.64702,5.92788,5.3109,4.79608,4.38343,4.07294,3.86461,3.75845,3.75445,3.85262,4.05295,4.35544,4.7601,5.26693,5.87591,6.58706,7.40038,8.31586,9.3335,10.4533,11.6753,12.9994,14.4257,15.9542,17.5848,19.3176,21.1525,23.0897,25.129,27.2704,29.514,31.8598,34.3077,36.8578,39.5101,42.2645,45.1211,48.0799,51.1408,54.3039,57.5691,60.9366,64.4061,67.9779,71.6518,75.4279,79.3061,83.2865,87.3691,91.5538,95.8407,100.23,104.721,109.314,114.01,118.808,123.707,128.71,133.814,139.02,144.329,149.739,155.252,155.252,215.342
0,5.01679,4.95998,4.99984,2.24778,-1.78028,-1.80082,-1.81296,-2.03281,-1.78924,-1.7385,-1.73678,-1.74441,-1.76343,-1.78885,-2.08081,-1.72898,-1.97566,-1.73037,-1.73415,-1.77197,-1.73172,-1.86915,-1.75142,-1.74591,-1.73671,-2.20659,-1.84951,-2.14479,-1.99767,-1.83005,-1.72897,-1.73864,-1.74251,-1.97617,-2.21923,-2.1067,-1.76615,-2.09534,-1.75762,-1.7934,-1.74441,-2.36437,-2.00055,-1.82947,-1.99409,-1.90386,-2.03744,-1.78056,-1.73237,-1.81117,-1.87656,-1.73774,-1.90172,-1.74518,-1.84663,-1.80463,-2.56447,-1.74274,-1.73982,-1.76228,-1.72953,-1.72897,-1.74353,-1.73691,-1.75446,-1.83806,-1.73068,-1.83144,-2.35323,-1.73286,-1.74079,-1.81872,-1.73609,-1.93915,-2.08482,-1.73061,-1.89103,-1.72921,-1.77163,-1.76547,-1.75344,-1.80442,-1.79025,-1.75024,-1.82795,-1.73492,-1.88288,-1.85263,-1.89709,-1.82969,-1.73126,-2.04266,-1.79508,-1.73061,-2.09322,-1.78949,-1.82129,-1.8089,-1.76052,-1.79604,-1.74582,-2.00372,-1.73077,-1.87726,-40.4492,-4.57638,105.62,101.104,96.6915,92.381,88.1729,84.0671,80.0637,76.1627,72.364,68.6677,65.0738,61.5823,58.1931,54.9063,51.7219,48.6398,45.6601,42.7828,40.0079,37.3354,34.7652,32.2974,29.9319,27.6689,25.5082,23.4499,21.4939,19.6403,17.8891,16.2403,14.6939,13.2498,11.9081,10.6687,9.53178,8.49719,7.56498,6.73514,6.00767,5.38257,4.85985,4.4395,4.12152,3.90592,3.79269,3.78183,3.87335,4.06724,4.3635,4.76213,5.26314,5.86652,6.57227,7.3804,8.2909,9.30377,10.419,11.6366,12.9566,14.379,15.9037,17.5308,19.2603,21.0922,23.0264,25.063,27.202,29.4433,31.7871,34.2332,36.7816,39.4325,42.1857,45.0413,47.9992,51.0596,54.2223,57.4874,60.8548,64.3246,67.8968,71.5714,75.3483,79.2277,83.2094,87.2934,91.4799,95.7687,100.16,104.653,109.249,113.948,118.748,123.651,128.657,133.765,138.975,144.287,149.702,155.219,155.219,215.364
0,4.99606,4.97847,4.98448,2.43289,-1.80878,-1.81326,-1.81781,-1.92825,-1.813,-1.81159,-1.8119,-1.80857,-1.80953,-1.933,-1.98974,-1.81951,-1.92892,-1.81299,-1.80918,-1.81712,-1.80982,-1.8751,-1.85698,-1.80982,-1.83227,-2.13146,-1.87305,-2.09299,-2.09669,-1.92949,-1.81163,-1.80991,-1.81203,-1.98276,-2.27778,-2.17216,-1.82921,-2.15548,-1.82466,-1.87559,-1.81651,-2.32019,-2.02213,-1.88424,-2.04907,-1.94711,-2.08387,-1.8478,-1.81007,-1.87401,-1.92908,-1.81454,-1.95143,-1.82083,-1.90588,-1.87077,-2.5272,-1.81914,-1.818,-1.83767,-1.80842,-1.80804,-1.8215,-1.8141,-1.82825,-1.89738,-1.80904,-1.8907,-2.35496,-1.81279,-1.8208,-1.87726,-1.81198,-2.00242,-2.09109,-1.80832,-1.92959,-1.80981,-1.83457,-1.82938,-1.82046,-1.89209,-1.87974,-1.83934,-1.86839,-1.80857,-1.97968,-1.88079,-1.91044,-1.86123,-1.82048,-2.00782,-1.90561,-1.82178,-2.03305,-1.90741,-1.84353,-1.83498,-1.87897,-1.82555,-1.86202,-1.9427,-1.83456,-2.04237,-36.3508,-3.68478,104.994,100.501,96.1103,91.8215,87.6347,83.5498,79.5669,75.6859,71.9069,68.2298,64.6547,61.1815,57.8103,54.541,51.3737,48.3083,45.3449,42.4834,39.7239,37.0663,34.5107,32.057,29.7053,27.4555,25.3077,23.2618,21.3179,19.4759,17.7359,16.0978,14.5617,13.1275,11.7953,10.565,9.43666,8.41029,7.48586,6.66338,5.94286,5.32428,4.80766,4.39298,4.08026,3.86948,3.76066,3.75378,3.84886,4.04588,4.34486,4.74579,5.24866,5.85349,6.56026,7.36899,8.27966,9.29229,10.4069,11.6234,12.9419,14.3623,15.8847,17.509,19.2353,21.0635,22.9937,25.0258,27.1599,29.3959,31.7339,34.1738,36.7157,39.3595,42.1053,44.953,47.9027,50.9543,54.1079,57.3634,60.7209,64.1803,67.7417,71.405,75.1703,79.0375,83.0067,87.0778,91.2509,95.5259,99.9029,104.382,108.963,113.646,118.43,123.317,128.306,133.396,138.589,143.883,149.28,154.778,154.778,214.713
0,5.01642,4.96495,4.96142,2.36982,-1.81917,-1.83606,-1.84624,-2.03383,-1.82689,-1.78703,-1.78587,-1.79142,-1.80631,-1.84507,-2.07721,-1.78184,-1.98654,-1.78208,-1.78432,-1.81376,-1.78283,-1.89581,-1.80726,-1.79314,-1.79191,-2.18999,-1.87972,-2.13635,-2.03957,-1.88255,-1.78236,-1.78789,-1.79088,-1.9903,-2.24279,-2.13891,-1.81021,-2.12799,-1.80329,-1.84667,-1.79268,-2.33322,-2.01316,-1.8645,-2.03321,-1.92916,-2.07284,-1.82302,-1.78366,-1.84931,-1.90601,-1.78775,-1.92817,-1.79375,-1.8804,-1.84416,-2.55286,-1.7919,-1.79385,-1.81562,-1.78194,-1.78175,-1.79739,-1.78736,-1.80183,-1.87387,-1.78268,-1.86826,-2.35782,-1.78654,-1.79448,-1.85744,-1.78685,-1.9788,-2.09202,-1.7827,-1.9211,-1.78241,-1.81696,-1.81171,-1.80145,-1.85404,-1.84084,-1.80325,-1.86621,-1.78609,-1.92615,-1.88801,-1.92721,-1.86795,-1.78464,-2.05622,-1.84495,-1.78393,-2.10132,-1.83968,-1.86084,-1.85001,-1.81263,-1.8388,-1.79874,-2.02224,-1.78406,-1.92024,-36.6968,-4.32277,105.547,101.033,96.6209,92.3112,88.1039,83.9989,79.9964,76.0962,72.2983,68.6028,65.0097,61.519,58.1306,54.8446,51.6609,48.5796,45.6007,42.7242,39.95,37.2782,34.7087,32.2416,29.8769,27.6145,25.4545,23.3969,21.4416,19.5887,17.8382,16.19,14.6442,13.2008,11.8597,10.621,9.48468,8.45071,7.5191,6.68986,5.96298,5.33847,4.81632,4.39654,4.07913,3.86408,3.75139,3.74108,3.83312,4.02754,4.32431,4.72346,5.22497,5.82884,6.53508,7.34369,8.25466,9.268,10.3837,11.6018,12.9222,14.345,15.8702,17.4977,19.2276,21.0599,22.9945,25.0315,27.1708,29.4126,31.7567,34.2031,36.7519,39.4031,42.1567,45.0126,47.9709,51.0315,54.1945,57.4599,60.8277,64.2978,67.8702,71.5451,75.3223,79.2019,83.1838,87.2681,91.4548,95.7438,100.135,104.629,109.225,113.924,118.724,123.628,128.633,133.741,138.952,144.264,149.679,155.197,155.197,215.342
0,5.04657,5.03497,4.95002,2.24744,-1.83587,-1.85966,-1.87072,-2.12762,-1.83082,-1.75617,-1.75136,-1.76125,-1.78441,-1.76886,-2.12898,-1.73069,-2.00563,-1.73274,-1.73735,-1.77867,-1.73296,-1.87497,-1.75007,-1.74592,-1.73707,-2.19839,-1.84327,-2.1298,-2.01263,-1.84083,-1.72955,-1.7348,-1.73757,-1.95245,-2.25603,-2.14065,-1.75595,-2.13123,-1.74831,-1.80949,-1.73761,-2.31666,-1.96967,-1.81113,-2.02549,-1.88031,-2.06949,-1.76883,-1.72983,-1.7976,-1.85942,-1.73407,-1.88616,-1.74102,-1.8368,-1.7981,-2.58133,-1.74118,-1.74031,-1.76202,-1.7296,-1.72901,-1.74073,-1.7398,-1.76108,-1.85465,-1.73384,-1.85421,-2.29317,-1.72909,-1.73227,-1.85482,-1.75006,-1.88198,-2.1777,-1.74347,-1.96794,-1.73436,-1.82291,-1.81788,-1.80237,-1.75205,-1.74262,-1.7288,-1.94102,-1.78255,-1.78151,-2.00256,-2.07746,-1.98574,-1.75119,-2.31914,-1.7303,-1.76336,-2.4366,-1.72873,-2.04494,-2.03323,-1.73909,-2.03108,-1.75821,-2.43022,-1.80786,-1.73111,-36.385,-6.35508,105.939,101.402,96.9674,92.6359,88.4074,84.2818,80.2593,76.3397,72.5231,68.8094,65.1988,61.6911,58.2865,54.9848,51.786,48.6903,45.6975,42.8077,40.0209,37.3371,34.7563,32.2784,29.9036,27.6317,25.4627,23.3968,21.4339,19.5739,17.8169,16.1629,14.6119,13.1638,11.8187,10.5766,9.43754,8.40141,7.46826,6.6381,5.91091,5.28671,4.76548,4.34724,4.03198,3.8197,3.7104,3.70408,3.80074,4.00038,4.303,4.7086,5.21718,5.82875,6.54329,7.36082,8.28132,9.30481,10.4313,11.6607,12.9932,14.4286,15.967,17.6083,19.3527,21.2,23.1503,25.2036,27.3599,29.6191,31.9814,34.4466,37.0148,39.686,42.4601,45.3373,48.3174,51.4005,54.5866,57.8756,61.2677,64.7627,68.3607,72.0617,75.8656,79.7726,83.7825,87.8954,92.1113,96.4302,100.852,105.377,110.005,114.735,119.569,124.506,129.546,134.688,139.934,145.283,150.734,156.289,156.289,216.836
0,5.00648,4.98798,5.0039,1.86015,-1.55505,-1.5718,-1.58397,-1.82184,-1.56739,-1.53965,-1.53978,-1.54077,-1.55229,-1.70242,-1.91602,-1.54717,-1.7949,-1.54156,-1.5396,-1.56771,-1.53982,-1.68168,-1.60383,-1.54756,-1.56915,-2.13808,-1.67022,-2.06416,-1.99977,-1.72722,-1.5429,-1.54545,-1.5498,-1.85724,-2.3154,-2.13989,-1.58112,-2.11505,-1.57205,-1.64809,-1.55659,-2.4329,-1.91625,-1.67583,-1.94229,-1.78461,-2.00201,-1.61119,-1.54393,-1.65692,-1.75273,-1.55222,-1.79182,-1.5637,-1.71326,-1.65226,-2.75093,-1.56123,-1.55419,-1.58565,-1.54102,-1.53994,-1.55877,-1.55316,-1.58028,-1.70598,-1.5432,-1.69623,-2.43468,-1.54417,-1.55484,-1.67672,-1.55177,-1.83858,-2.06916,-1.54279,-1.78175,-1.53989,-1.60397,-1.59441,-1.57621,-1.64932,-1.62938,-1.57133,-1.68209,-1.54764,-1.76995,-1.71414,-1.77643,-1.67872,-1.5447,-1.97854,-1.64668,-1.5443,-2.04213,-1.64212,-1.65681,-1.6385,-1.59949,-1.61847,-1.57654,-1.89469,-1.54823,-1.79834,-58.7302,-5.39461,105.226,100.724,96.3239,92.0261,87.8305,83.737,79.7457,75.8565,72.0695,68.3847,64.802,61.3215,57.9431,54.667,51.4929,48.4211,45.4514,42.5839,39.8185,37.1553,34.5943,32.1354,29.7787,27.5241,25.3717,23.3215,21.3734,19.5275,17.7838,16.1422,14.6028,13.1655,11.8304,10.5975,9.46673,8.43812,7.51168,6.6874,5.96529,5.34534,4.82755,4.41192,4.09845,3.88715,3.77801,3.77104,3.86622,4.06357,4.36308,4.76475,5.26859,5.87459,6.58275,7.39308,8.30556,9.32021,10.437,11.656,12.9771,14.4004,15.9259,17.5535,19.2833,21.1153,23.0494,25.0857,27.2241,29.4647,31.8075,34.2524,36.7995,39.4487,42.2001,45.0537,48.0095,51.0674,54.2274,57.4897,60.854,64.3206,67.8893,71.5602,75.3332,79.2084,83.1858,87.2653,91.447,95.7309,100.117,104.605,109.195,113.888,118.683,123.579,128.578,133.68,138.883,144.188,149.596,155.106,155.106,215.165
0,5.00467,4.9648,4.99791,2.44623,-1.82631,-1.83751,-1.84537,-1.99173,-1.83445,-1.81364,-1.81354,-1.81537,-1.82406,-1.89753,-2.04699,-1.81596,-1.97378,-1.8138,-1.81375,-1.83387,-1.8135,-1.90424,-1.84532,-1.82018,-1.82721,-2.17528,-1.89625,-2.13068,-2.06728,-1.91444,-1.81454,-1.81824,-1.82109,-2.00574,-2.24953,-2.15012,-1.8402,-2.13709,-1.83436,-1.87278,-1.82463,-2.33853,-2.0363,-1.89497,-2.04229,-1.95791,-2.07773,-1.85588,-1.81618,-1.88196,-1.93713,-1.82077,-1.95877,-1.8271,-1.91259,-1.87723,-2.51972,-1.82508,-1.82285,-1.84198,-1.81399,-1.81354,-1.82629,-1.81987,-1.83421,-1.90346,-1.81468,-1.89707,-2.34944,-1.8177,-1.8252,-1.88444,-1.81809,-2.00076,-2.10026,-1.81407,-1.93918,-1.81462,-1.84287,-1.83769,-1.82839,-1.8898,-1.8776,-1.83967,-1.88093,-1.81507,-1.96898,-1.89603,-1.92815,-1.87656,-1.82121,-2.03362,-1.89444,-1.82139,-2.06465,-1.89328,-1.86198,-1.85264,-1.8657,-1.84238,-1.84992,-1.97931,-1.82735,-2.0028,-35.4408,-3.86487,105.291,100.788,96.3875,92.0891,87.8928,83.7986,79.8066,75.9167,72.1289,68.4432,64.8597,61.3783,57.999,54.7219,51.5468,48.4739,45.5031,42.6345,39.868,37.2035,34.6413,32.1811,29.8231,27.5672,25.4134,23.3618,21.4122,19.5648,17.8196,16.1764,14.6354,13.1965,11.8597,10.6251,9.49259,8.4622,7.53393,6.70779,5.98378,5.36189,4.84213,4.42449,4.10898,3.89559,3.78434,3.7752,3.86819,4.06331,4.36055,4.75992,5.26142,5.86504,6.57079,7.37866,8.28866,9.30078,10.415,11.6314,12.9499,14.3705,15.8933,17.5182,19.2452,21.0743,23.0056,25.0389,27.1744,29.4121,31.7518,34.1937,36.7377,39.3839,42.1321,44.9825,47.935,50.9897,54.1464,57.4053,60.7663,64.2295,67.7947,71.4621,75.2317,79.1033,83.0771,87.153,91.331,95.6111,99.9934,104.478,109.064,113.753,118.544,123.437,128.432,133.529,138.728,144.03,149.433,154.939,154.939,214.955
0,5.02897,4.97876,5.03943,2.17727,-1.79643,-1.82289,-1.83689,-2.1074,-1.80071,-1.72477,-1.72078,-1.73243,-1.75886,-1.7365,-2.13781,-1.70053,-2.00989,-1.70407,-1.71066,-1.76149,-1.70557,-1.87519,-1.71178,-1.72468,-1.7008,-2.24702,-1.84523,-2.17403,-1.959,-1.79088,-1.69713,-1.71176,-1.71627,-1.97851,-2.19649,-2.08055,-1.7427,-2.07068,-1.73237,-1.75942,-1.71677,-2.39332,-1.99864,-1.81144,-1.96847,-1.89271,-2.01394,-1.75716,-1.70215,-1.79129,-1.86342,-1.70883,-1.8917,-1.71785,-1.83202,-1.78582,-2.56015,-1.7158,-1.70539,-1.72633,-1.69903,-1.69787,-1.70781,-1.71021,-1.73269,-1.83126,-1.70201,-1.82601,-2.31397,-1.6981,-1.7032,-1.81634,-1.71281,-1.88466,-2.13047,-1.70471,-1.91127,-1.69797,-1.76757,-1.76067,-1.74511,-1.74693,-1.73409,-1.70419,-1.85236,-1.72029,-1.80567,-1.89235,-1.95261,-1.86789,-1.69851,-2.14728,-1.72565,-1.70029,-2.22578,-1.71839,-1.8783,-1.86354,-1.70104,-1.85067,-1.69704,-2.15184,-1.70562,-1.76225,-41.1582,-5.43719,105.87,101.344,96.9214,92.6011,88.3834,84.2683,80.2559,76.3461,72.5389,68.8343,65.2323,61.733,58.3363,55.0422,51.8507,48.7619,45.7756,42.892,40.111,37.4327,34.8569,32.3838,30.0133,27.7454,25.5802,23.5176,21.5575,19.7001,17.9454,16.2932,14.7437,13.2968,11.9525,10.7109,9.57182,8.5354,7.6016,6.77043,6.04187,5.41594,4.89263,4.47194,4.15387,3.93843,3.8256,3.8154,3.90782,4.10286,4.40052,4.80081,5.30371,5.90924,6.61739,7.42816,8.34155,9.35756,10.4762,11.6975,13.0213,14.4478,15.9769,17.6087,19.3431,21.18,23.1196,25.1619,27.3067,29.5542,31.9043,34.357,36.9123,39.5703,42.3309,45.1941,48.1599,51.2283,54.3994,57.6731,61.0494,64.5283,68.1099,71.7941,75.5809,79.4703,83.4623,87.557,91.7543,96.0542,100.457,104.962,109.57,114.28,119.093,124.009,129.027,134.148,139.371,144.697,150.126,155.657,155.657,215.955
